0.44,0.44,0.23333,0.043333,0.544,0.326,0.58,0.32,0.61389,0.2,0,0.65606,0,0.75471
0.44,0.44,0.23333,0.043333,0.544,0.326,0.6,0.29,0.54167,0.2,0,0.25882,0,0.96593
0.24,0.28,0.19333,0.036667,0.338,0.322,0.58,0.3,0.57222,0.4,0,0.43837,0,0.89879
0.22,0.33,0.18,0.063333,0.336,0.316,0.56,0.32,0.57778,0.4,0,0.46947,0,0.88295
0.29,0.45333,0.21333,0.13333,0.474,0.43,0.52,0.41,0.48889,0.4,0.069756,0,0,0.99756
0.25,0.5,0.2,0.043333,0.434,0.43,0.48,0.49,0.68056,0.2,0,0.90631,0,0.42262
0.29,0.41,0.26,0.033333,0.414,0.42,0.46,0.58,0.69722,0.2,0,0.94552,0,0.32557
0.33,0.4,0.28333,0.01,0.464,0.474,0.4,0.68,0.44444,0.2,0.34202,0,0,0.93969
0.37,0.40667,0.31667,0.013333,0.486,0.496,0.4,0.73,0.50556,0.2,0,0.034899,0,0.99939
0.54,0.41333,0.35333,0.013333,0.562,0.59,0.38,0.75,0.76667,0.2,0,0.99452,0.10453,0
0.41,0.39,0.29,0.013333,0.472,0.486,0.36,0.85,0.64444,0.2,0,0.78801,0,0.61566
0.41,0.39,0.29,0.01,0.472,0.486,0.36,0.85,0.14722,0.2,0.79864,0,0.60182,0
0.52,0.33667,0.28,0.01,0.472,0.492,0.36,0.85,0.69444,0.2,0,0.93969,0,0.34202
0.28,0.25,0.21,0.01,0.264,0.256,0.32,0.85,0.675,0.2,0,0.89101,0,0.45399
0.28,0.25,0.21,0.0033333,0.264,0.256,0.32,0.83,0,0,0,0,1,0
0.33,0.24333,0.19,0.0066667,0.266,0.268,0.36,0.84,0.77222,0.2,0,0.99027,0.13917,0
0.33,0.24333,0.18333,0.013333,0.294,0.288,0.36,0.84,0.26944,0.2,0.99255,0,0,0.12187
0.33,0.24333,0.18333,0.013333,0.294,0.288,0.32,0.86,0.54722,0.2,0,0.29237,0,0.9563
0.21,0.19667,0.21,0.013333,0.228,0.224,0.32,0.86,0.71389,0.2,0,0.97437,0,0.22495
0.21,0.18333,0.20667,0.01,0.21,0.218,0.32,0.84,0,0.2,0,0,1,0
0.24,0.16667,0.22,0.013333,0.238,0.228,0.4,0.78,0.75833,0.2,0,0.99863,0.052336,0
0.29,0.21667,0.22,0.02,0.316,0.294,0.46,0.59,0.7,0.2,0,0.95106,0,0.30902
0.31,0.27,0.23333,0.023333,0.34,0.304,0.5,0.52,0.25278,0.2,0.99985,0,0,0.017452
0.39,0.33667,0.24333,0.023333,0.426,0.382,0.52,0.53,0.28889,0.2,0.9703,0,0,0.24192
0.36,0.38333,0.25667,0.026667,0.536,0.528,0.54,0.5,0.49444,0.2,0.034899,0,0,0.99939
0.36,0.38333,0.25667,0.026667,0.536,0.528,0.54,0.51,0.18889,0.2,0.92718,0,0.37461,0
0.5,0.44667,0.3,0.026667,0.746,0.72,0.54,0.52,0.24167,0.2,0.99863,0,0.052336,0
0.52,0.44667,0.33667,0.02,0.73,0.7,0.52,0.56,0.26944,0.2,0.99255,0,0,0.12187
